Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Entrega_Atipica,Fecha_Futura_Invalida,Es_Venta_Fantasma,Categoria,Stock_Actual,Costo_Unitario_USD,Costo_Atipico,Bodega_Origen,Lead_Time_Dias_Clean,Ultima_Revision,Dias_Desde_Ultima_Revision,Rating_Producto_Prom,Rating_Logistica_Prom,Satisfaccion_NPS_Prom,Ticket_Soporte_Abierto,N_Feedbacks,Ingreso_Bruto,Margen_Utilidad_USD,Margen_Porcentual,Brecha_Entrega_Dias,Ratio_Soporte_Categoria
TRX-10030,PROD-3413,2025-06-09,14.0,1546.96,74.22,12.0,Devuelto,Barranquilla,App,False,False,False,Smartphones,2.0,337.38,False,Norte,10.0,2025-06-25,220.0,,,,False,0,21657.440000000002,16859.899999999998,0.778480743799821,2.0,0.20174165457184326
TRX-10031,PROD-2139,2025-03-05,8.0,1254.53,51.36,18.0,Devuelto,Bucaramanga,Online,False,False,False,Laptops,1316.0,839.61,False,Occidente,0.0,2025-12-30,32.0,,,,False,0,10036.24,3267.9999999999995,0.3256199532892796,18.0,0.21533203125
TRX-10032,PROD-1026,2024-12-08,6.0,622.97,48.6,10.0,Perdido,Bogotá,WhatsApp,False,False,False,Laptops,1993.0,1088.27,False,Bod-Ext-99,10.0,2024-12-07,420.0,3.0,4.0,-53.8,True,1,3737.82,-2840.3999999999996,-0.7599081817744031,0.0,0.21533203125
TRX-10033,PROD-1653,2025-08-02,5.0,778.54,23.64,2.0,Perdido,Bucaramanga,WhatsApp,False,False,False,Monitores,961.0,605.66,False,Zona_Franca,3.0,2024-06-24,586.0,2.0,5.0,-25.9,True,1,3892.7,840.76,0.215983764482236,-1.0,0.20249520153550865
TRX-10034,PROD-3859,2025-11-12,9.0,618.52,39.32,17.0,Perdido,Medellín,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,2.0,5.0,-41.2,False,1,5566.68,,,,0.20959451741861793
TRX-10035,PROD-2731,2025-02-06,12.0,1193.59,22.28,3.0,Sin Información,Barranquilla,Online,False,False,False,Smartphones,162.0,562.54,False,Occidente,5.0,2024-07-27,553.0,4.0,3.0,-83.0,True,1,14323.079999999998,7550.32,0.5271436031914923,-2.0,0.20174165457184326
TRX-10036,PROD-2393,2025-09-16,2.0,671.92,52.36,1.0,Sin Información,Barranquilla,WhatsApp,False,False,False,Laptops,132.0,751.07,False,Zona_Franca,3.0,2025-04-24,282.0,1.0,4.0,80.9,True,1,1343.84,-210.6600000000002,-0.1567597333015837,-2.0,0.21533203125
TRX-10037,PROD-2138,2025-04-18,7.0,1454.14,74.86,8.0,Retrasado,Medellín,WhatsApp,False,False,False,Accesorios,123.0,620.31,False,Norte,5.0,2024-06-12,598.0,,,,False,0,10178.980000000001,5761.950000000002,0.5660635937981999,3.0,0.20368574199806014
TRX-10038,PROD-1636,2025-05-22,6.0,1163.78,23.91,13.0,En Camino,Medellín,WhatsApp,False,False,False,Laptops,184.0,1407.11,False,Bod-Ext-99,5.0,2024-09-24,494.0,,,,False,0,6982.68,-1483.8899999999996,-0.21251009640997434,8.0,0.21533203125
TRX-10039,PROD-1881,2024-11-28,7.0,299.96,63.59,11.0,Perdido,Barranquilla,Físico,False,False,False,Laptops,854.0,421.48,False,Occidente,3.0,2024-10-22,466.0,,,,False,0,2099.72,-914.2300000000004,-0.4354056731373709,8.0,0.21533203125
TRX-10040,PROD-2378,2025-01-16,12.0,627.43,31.56,8.0,Perdido,Bogotá,Físico,False,False,False,Laptops,1447.0,525.43,False,Sur,5.0,2024-12-23,404.0,,,,False,0,7529.16,1192.44,0.1583762332052978,3.0,0.21533203125
TRX-10041,PROD-1418,2025-10-31,4.0,450.68,67.41,20.0,En Camino,Sin Ciudad,WhatsApp,False,False,False,Sin Categoría,1473.0,303.24,False,Sur,3.0,2025-06-17,228.0,,,,False,0,1802.72,522.35,0.2897565900417147,17.0,0.20517737296260785
TRX-10042,PROD-1379,2025-04-12,9.0,786.72,56.34,1.0,Entregado,Bogotá,Online,False,False,False,Laptops,109.0,1305.07,False,Occidente,5.0,2025-04-12,294.0,,,,False,0,7080.4800000000005,-4721.49,-0.6668319097010371,-4.0,0.21533203125
TRX-10043,PROD-2556,2025-10-03,7.0,1036.81,45.23,2.0,Retrasado,Bogotá,WhatsApp,False,False,False,Tablets,1544.0,660.07,False,Zona_Franca,3.0,2024-03-30,672.0,,,,False,0,7257.67,2591.9499999999994,0.35713252324781913,-1.0,0.20235756385068762
TRX-10044,PROD-1396,2025-05-30,2.0,1018.46,68.94,18.0,Retrasado,Medellín,WhatsApp,False,False,False,Sin Categoría,157.0,388.33,False,Zona_Franca,3.0,2025-11-15,77.0,,,,False,0,2036.92,1191.3200000000002,0.5848634212438388,15.0,0.20517737296260785
TRX-10045,PROD-2470,2025-12-12,13.0,1511.5,44.49,18.0,Entregado,Medellín,Físico,False,False,False,Monitores,1209.0,486.4,False,Zona_Franca,10.0,2026-01-25,6.0,,,,False,0,19649.5,13281.81,0.6759362833659889,8.0,0.20249520153550865
TRX-10046,PROD-2408,2025-12-08,4.0,386.45,83.03,9.0,En Camino,Bogotá,Online,False,False,False,Smartphones,985.0,221.06,False,Norte,27.5,2025-06-02,243.0,4.0,2.0,4.3,True,1,1545.8,578.53,0.37425928321904517,-18.5,0.20174165457184326
TRX-10047,PROD-3472,2025-06-27,5.0,1893.48,74.31,7.0,En Camino,Cali,App,False,False,False,Smartphones,1540.0,1098.83,False,Occidente,5.0,2024-05-26,615.0,,,,False,0,9467.4,3898.9400000000005,0.4118279569892474,2.0,0.20174165457184326
TRX-10048,PROD-2083,2025-01-12,2.0,692.26,52.36,9.0,Devuelto,Medellín,Online,False,False,False,Accesorios,232.0,1074.24,False,Norte,5.0,2025-08-10,174.0,,,,False,0,1384.52,-816.32,-0.589605061682027,4.0,0.20368574199806014
TRX-10049,PROD-1177,2025-12-17,10.0,607.5,56.36,10.0,En Camino,Bogotá,Online,False,False,False,Smartphones,569.0,591.51,False,Norte,10.0,2025-06-01,244.0,,,,False,0,6075.0,103.54000000000009,0.01704362139917697,0.0,0.20174165457184326
TRX-10050,PROD-3988,2025-08-19,8.0,1373.51,88.32,26.0,Sin Información,Cali,Físico,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,4.0,3.0,-33.8,True,2,10988.08,,,,0.20959451741861793
TRX-10051,PROD-2881,2026-01-08,1.0,1612.98,83.74,2.0,Retrasado,Cali,Online,False,False,False,Tablets,1038.0,1060.2,False,Sur,27.5,2025-03-04,333.0,2.0,5.0,-56.6,False,1,1612.98,469.03999999999996,0.2907909583503825,-25.5,0.20235756385068762
TRX-10052,PROD-3196,2025-05-14,3.0,763.16,55.52,5.0,Sin Información,Medellín,Físico,False,False,False,Smartphones,53.0,958.86,False,Sur,0.0,2025-12-11,51.0,4.0,5.0,11.4,True,1,2289.48,-642.6200000000001,-0.280683823400947,5.0,0.20174165457184326
TRX-10053,PROD-1511,2025-03-17,14.0,1496.23,11.5,17.0,Devuelto,Bogotá,Online,False,False,False,Tablets,73.0,87.25,False,Norte,5.0,2025-08-24,160.0,,,,False,0,20947.22,19714.22,0.9411377738907597,12.0,0.20235756385068762
TRX-10054,PROD-2550,2025-10-19,1.0,1768.63,58.77,2.0,Perdido,Bogotá,Físico,False,False,False,Monitores,961.0,60.66,False,Zona_Franca,27.5,2024-08-12,537.0,,,,False,0,1768.63,1649.2,0.932473157189463,-25.5,0.20249520153550865
TRX-10055,PROD-1322,2025-12-23,5.0,1535.94,38.75,20.0,Perdido,Bogotá,Online,False,False,False,Accesorios,1193.0,642.26,False,Norte,10.0,2025-05-30,246.0,,,,False,0,7679.700000000001,4429.650000000001,0.576799874995117,10.0,0.20368574199806014
TRX-10056,PROD-3261,2025-02-12,8.0,78.05,56.31,10.0,Perdido,Medellín,Online,False,False,False,Sin Categoría,1155.0,540.83,False,Sur,27.5,2024-03-27,675.0,,,,False,0,624.4,-3758.55,-6.019458680333121,-17.5,0.20517737296260785
TRX-10057,PROD-2200,2024-10-24,7.0,1656.46,66.48,1.0,Devuelto,Bogotá,Online,False,False,False,Monitores,961.0,1331.34,False,Bod-Ext-99,0.0,2024-09-30,488.0,,,,False,0,11595.220000000001,2209.360000000001,0.1905405848271961,1.0,0.20249520153550865
TRX-10058,PROD-3574,2025-03-22,9.0,1551.22,66.26,12.0,Retrasado,Barranquilla,Online,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,1.0,5.0,-9.4,True,1,13960.98,,,,0.20959451741861793
TRX-10059,PROD-3533,2024-11-28,2.0,1341.89,68.98,24.0,En Camino,Cali,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,2683.78,,,,0.20959451741861793
TRX-10060,PROD-2481,2024-09-26,12.0,1522.44,52.36,15.0,Devuelto,Bucaramanga,App,False,False,False,Monitores,901.0,353.19,False,Norte,0.0,2025-12-25,37.0,4.0,3.5,-19.1,True,2,18269.28,13978.64,0.765144548663111,15.0,0.20249520153550865
TRX-10061,PROD-3364,2025-07-05,8.0,1959.06,69.53,6.0,Retrasado,Barranquilla,Físico,False,False,False,Accesorios,1419.0,1407.44,False,Bod-Ext-99,27.5,2024-08-29,520.0,,,,False,0,15672.48,4343.429999999999,0.27713737710943,-21.5,0.20368574199806014
TRX-10062,PROD-1787,2025-06-18,8.0,867.91,15.38,14.0,En Camino,Barranquilla,App,False,False,False,Sin Categoría,581.0,352.06,False,Zona_Franca,5.0,2024-09-28,490.0,,,,False,0,6943.28,4111.419999999999,0.5921437706674654,9.0,0.20517737296260785
TRX-10063,PROD-3885,2025-05-16,14.0,143.77,23.21,14.0,Entregado,Cali,WhatsApp,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,2012.7800000000002,,,,0.20959451741861793
TRX-10064,PROD-1284,2025-06-26,6.0,927.17,64.9,15.0,Retrasado,Bogotá,App,False,False,False,Tablets,1097.0,626.64,False,Norte,5.0,2024-12-15,412.0,,,,False,0,5563.0199999999995,1738.2799999999997,0.3124705645494713,10.0,0.20235756385068762
TRX-10065,PROD-1187,2024-11-02,3.0,102.4,43.78,1.0,Sin Información,Sin Ciudad,Físico,False,False,False,Smartphones,1032.0,277.38,False,Bod-Ext-99,0.0,2024-05-15,626.0,,,,False,0,307.20000000000005,-568.7199999999999,-1.8513020833333327,1.0,0.20174165457184326
TRX-10066,PROD-3708,2025-01-21,2.0,595.56,77.47,25.0,Sin Información,Cali,WhatsApp,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,1191.12,,,,0.20959451741861793
TRX-10067,PROD-1933,2026-01-29,14.0,1177.89,16.87,17.0,Entregado,Cali,App,False,False,False,Laptops,425.0,488.58,False,Occidente,3.0,2025-07-03,212.0,,,,False,0,16490.460000000003,9633.470000000001,0.5841844314834153,14.0,0.21533203125
TRX-10068,PROD-2185,2025-06-24,8.0,626.15,23.19,11.0,Perdido,Medellín,WhatsApp,False,False,False,Accesorios,1769.0,604.08,False,Norte,5.0,2024-05-12,629.0,3.0,3.0,-24.1,True,2,5009.2,153.3699999999995,0.03061766349916144,6.0,0.20368574199806014
TRX-10069,PROD-1326,2025-05-11,6.0,1373.94,58.05,15.0,Perdido,Bogotá,WhatsApp,False,False,False,Smartphones,1058.0,618.27,False,Occidente,5.0,2025-06-11,234.0,,,,False,0,8243.64,4475.97,0.5429603912834622,10.0,0.20174165457184326
TRX-10070,PROD-1953,2025-07-23,4.0,1645.75,52.57,20.0,Retrasado,Sin Ciudad,WhatsApp,False,False,False,Accesorios,1903.0,1140.15,False,Norte,0.0,2024-05-24,617.0,1.0,1.0,-41.1,False,1,6583.0,1969.8299999999997,0.299229834421996,20.0,0.20368574199806014
TRX-10071,PROD-1413,2024-12-17,5.0,846.67,30.31,16.0,Sin Información,Bogotá,Físico,False,False,False,Laptops,405.0,424.96,False,Bod-Ext-99,3.0,2024-05-11,630.0,,,,False,0,4233.349999999999,2078.24,0.49092090188621307,13.0,0.21533203125
TRX-10072,PROD-2556,2024-11-24,5.0,1801.27,52.36,21.0,Entregado,Medellín,App,False,False,False,Tablets,1544.0,660.07,False,Zona_Franca,3.0,2024-03-30,672.0,,,,False,0,9006.35,5653.639999999999,0.6277393172594891,18.0,0.20235756385068762
TRX-10073,PROD-2138,2025-10-31,13.0,168.88,43.79,29.0,Devuelto,Bogotá,Físico,False,False,False,Accesorios,123.0,620.31,False,Norte,5.0,2024-06-12,598.0,,,,False,0,2195.44,-5912.379999999999,-2.693027365812775,24.0,0.20368574199806014
TRX-10074,PROD-2857,2025-04-02,9.0,1681.83,8.32,27.0,En Camino,Bogotá,Físico,False,False,False,Laptops,1487.0,1308.6,False,Bod-Ext-99,10.0,2025-07-12,203.0,,,,False,0,15136.47,3350.75,0.22136931530270929,17.0,0.21533203125
TRX-10075,PROD-3603,2025-07-12,13.0,1658.86,8.52,9.0,Perdido,Cali,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,21565.18,,,,0.20959451741861793
TRX-10076,PROD-2494,2024-10-23,13.0,650.77,14.02,29.0,Perdido,Sin Ciudad,Físico,False,False,False,Laptops,771.0,1374.18,False,Zona_Franca,3.0,2024-10-16,472.0,2.0,3.5,27.75,False,2,8460.01,-9418.350000000002,-1.1132788259115536,26.0,0.21533203125
TRX-10077,PROD-1666,2025-08-18,9.0,604.44,59.8,12.0,Perdido,Barranquilla,Online,False,False,False,Laptops,1805.0,917.92,False,Zona_Franca,10.0,2024-10-05,483.0,,,,False,0,5439.960000000001,-2881.1199999999994,-0.5296215413348626,2.0,0.21533203125
TRX-10078,PROD-2516,2025-02-15,8.0,617.14,87.05,2.0,Perdido,Cali,App,False,False,False,Smartphones,1945.0,1475.27,False,Occidente,10.0,2024-12-05,422.0,,,,False,0,4937.12,-6952.09,-1.4081266001231487,-8.0,0.20174165457184326
TRX-10079,PROD-2455,2025-01-07,8.0,1624.67,29.72,15.0,Sin Información,Cali,Online,False,False,False,Monitores,482.0,884.71,False,Norte,3.0,2024-04-24,647.0,,,,False,0,12997.36,5889.96,0.45316587368511757,12.0,0.20249520153550865
TRX-10080,PROD-1858,2025-09-16,12.0,1664.99,8.22,28.0,Retrasado,Sin Ciudad,App,False,False,False,Tablets,833.0,460.76,False,Zona_Franca,3.0,2025-08-10,174.0,5.0,2.0,-58.8,False,1,19979.88,14442.54,0.7228541913164643,25.0,0.20235756385068762
TRX-10081,PROD-3745,2025-01-10,2.0,666.15,72.32,9.0,Sin Información,Sin Ciudad,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,1332.3,,,,0.20959451741861793
TRX-10082,PROD-2093,2025-06-25,14.0,1189.25,86.26,28.0,Retrasado,Barranquilla,Físico,False,False,False,Smartphones,1825.0,399.69,False,Norte,27.5,2024-10-14,474.0,4.0,4.0,-48.5,True,1,16649.5,10967.58,0.6587332952941529,0.5,0.20174165457184326
TRX-10083,PROD-3874,2025-04-20,3.0,286.48,18.13,16.0,Entregado,Bucaramanga,Físico,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,3.0,1.0,27.6,False,1,859.44,,,,0.20959451741861793
TRX-10084,PROD-3799,2025-02-08,14.0,942.87,52.36,17.0,Devuelto,Medellín,Físico,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,1.5,2.0,1.5,True,2,13200.18,,,,0.20959451741861793
TRX-10085,PROD-3654,2024-12-17,8.0,1997.6,41.65,20.0,Entregado,Medellín,WhatsApp,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,5.0,1.0,39.3,True,1,15980.8,,,,0.20959451741861793
TRX-10086,PROD-1292,2024-11-05,13.0,326.09,20.08,27.0,Sin Información,Bucaramanga,App,False,False,False,Laptops,736.0,847.31,False,Zona_Franca,10.0,2025-08-30,154.0,,,,False,0,4239.17,-6795.9400000000005,-1.6031298579674795,17.0,0.21533203125
TRX-10087,PROD-3495,2024-12-13,5.0,1895.65,15.1,23.0,Sin Información,Cali,WhatsApp,False,False,False,Sin Categoría,832.0,910.57,False,Bod-Ext-99,0.0,2024-07-04,576.0,1.0,3.0,50.3,True,1,9478.25,4910.3,0.5180597684171656,23.0,0.20517737296260785
TRX-10088,PROD-3600,2024-11-25,7.0,1650.27,66.58,4.0,Devuelto,Bogotá,Físico,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,11551.89,,,,0.20959451741861793
TRX-10089,PROD-1700,2025-10-05,14.0,1944.71,96.92,8.0,Retrasado,Bogotá,Online,False,False,False,Tablets,1020.0,858.92,False,Norte,5.0,2026-01-14,17.0,,,,False,0,27225.940000000002,15104.14,0.5547701934258283,3.0,0.20235756385068762
TRX-10090,PROD-3187,2025-11-14,8.0,367.36,69.43,7.0,Perdido,Barranquilla,Online,False,False,False,Laptops,557.0,960.64,False,Bod-Ext-99,5.0,2025-04-22,284.0,,,,False,0,2938.88,-4815.67,-1.6386072245209058,2.0,0.21533203125
TRX-10091,PROD-3986,2025-08-31,6.0,434.9,98.56,6.0,Entregado,Cali,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,2.0,1.5,-64.25,False,2,2609.3999999999996,,,,0.20959451741861793
TRX-10092,PROD-2002,2025-08-09,5.0,43.57,46.27,5.0,Devuelto,Bogotá,WhatsApp,False,False,False,Laptops,32.0,65.54,False,Bod-Ext-99,5.0,2025-12-31,31.0,,,,False,0,217.85,-156.12000000000003,-0.7166398898324537,0.0,0.21533203125
TRX-10093,PROD-1669,2024-11-16,8.0,1452.16,90.3,10.0,En Camino,Barranquilla,App,False,False,False,Smartphones,1704.0,834.62,False,Norte,27.5,2025-07-19,196.0,,,,False,0,11617.28,4850.02,0.4174832663067431,-17.5,0.20174165457184326
TRX-10094,PROD-2893,2024-12-05,1.0,1291.75,24.48,3.0,Devuelto,Barranquilla,Físico,False,False,False,Smartphones,1422.0,1372.14,False,Norte,5.0,2024-03-18,684.0,,,,False,0,1291.75,-104.8700000000001,-0.08118443971356695,-2.0,0.20174165457184326
TRX-10095,PROD-2554,2025-09-30,1.0,364.35,16.2,24.0,Entregado,Medellín,WhatsApp,False,False,False,Accesorios,182.0,583.96,False,Sur,0.0,2025-01-07,389.0,3.0,1.0,66.0,True,1,364.35,-235.81,-0.6472073555647042,24.0,0.20368574199806014
TRX-10096,PROD-2105,2025-01-29,1.0,1584.38,52.36,20.0,Retrasado,Sin Ciudad,Online,False,False,False,Accesorios,841.0,204.86,False,Occidente,5.0,2024-05-05,636.0,3.0,5.0,-94.5,True,1,1584.38,1327.16,0.8376525833449047,15.0,0.20368574199806014
TRX-10097,PROD-3621,2025-06-05,3.0,605.4,71.74,24.0,Perdido,Barranquilla,Físico,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,2.0,1.0,-21.6,True,1,1816.1999999999998,,,,0.20959451741861793
