Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Entrega_Atipica,Fecha_Futura_Invalida,Es_Venta_Fantasma
TRX-10038,PROD-1636,2025-05-22,6.0,1163.78,23.91,13.0,En Camino,Medellín,WhatsApp,False,False,False
TRX-10039,PROD-1881,2024-11-28,7.0,299.96,63.59,11.0,Perdido,Barranquilla,Físico,False,False,False
TRX-10040,PROD-2378,2025-01-16,12.0,627.43,31.56,8.0,Perdido,Bogotá,Físico,False,False,False
TRX-10041,PROD-1418,2025-10-31,4.0,450.68,67.41,20.0,En Camino,Sin Ciudad,WhatsApp,False,False,False
TRX-10042,PROD-1379,2025-04-12,9.0,786.72,56.34,1.0,Entregado,Bogotá,Online,False,False,False
TRX-10043,PROD-2556,2025-10-03,7.0,1036.81,45.23,2.0,Retrasado,Bogotá,WhatsApp,False,False,False
TRX-10044,PROD-1396,2025-05-30,2.0,1018.46,68.94,18.0,Retrasado,Medellín,WhatsApp,False,False,False
TRX-10045,PROD-2470,2025-12-12,13.0,1511.5,44.49,18.0,Entregado,Medellín,Físico,False,False,False
TRX-10046,PROD-2408,2025-12-08,4.0,386.45,83.03,9.0,En Camino,Bogotá,Online,False,False,False
TRX-10047,PROD-3472,2025-06-27,5.0,1893.48,74.31,7.0,En Camino,Cali,App,False,False,False
TRX-10048,PROD-2083,2025-01-12,2.0,692.26,52.36,9.0,Devuelto,Medellín,Online,False,False,False
TRX-10049,PROD-1177,2025-12-17,10.0,607.5,56.36,10.0,En Camino,Bogotá,Online,False,False,False
TRX-10050,PROD-3988,2025-08-19,8.0,1373.51,88.32,26.0,Sin Información,Cali,Físico,False,False,True
TRX-10051,PROD-2881,2026-01-08,1.0,1612.98,83.74,2.0,Retrasado,Cali,Online,False,False,False
TRX-10052,PROD-3196,2025-05-14,3.0,763.16,55.52,5.0,Sin Información,Medellín,Físico,False,False,False
TRX-10053,PROD-1511,2025-03-17,14.0,1496.23,11.5,17.0,Devuelto,Bogotá,Online,False,False,False
TRX-10054,PROD-2550,2025-10-19,1.0,1768.63,58.77,2.0,Perdido,Bogotá,Físico,False,False,False
TRX-10055,PROD-1322,2025-12-23,5.0,1535.94,38.75,20.0,Perdido,Bogotá,Online,False,False,False
TRX-10056,PROD-3261,2025-02-12,8.0,78.05,56.31,10.0,Perdido,Medellín,Online,False,False,False
TRX-10057,PROD-2200,2024-10-24,7.0,1656.46,66.48,1.0,Devuelto,Bogotá,Online,False,False,False
TRX-10058,PROD-3574,2025-03-22,9.0,1551.22,66.26,12.0,Retrasado,Barranquilla,Online,False,False,True
TRX-10059,PROD-3533,2024-11-28,2.0,1341.89,68.98,24.0,En Camino,Cali,App,False,False,True
TRX-10060,PROD-2481,2024-09-26,12.0,1522.44,52.36,15.0,Devuelto,Bucaramanga,App,False,False,False
TRX-10061,PROD-3364,2025-07-05,8.0,1959.06,69.53,6.0,Retrasado,Barranquilla,Físico,False,False,False
TRX-10062,PROD-1787,2025-06-18,8.0,867.91,15.38,14.0,En Camino,Barranquilla,App,False,False,False
TRX-10063,PROD-3885,2025-05-16,14.0,143.77,23.21,14.0,Entregado,Cali,WhatsApp,False,False,True
TRX-10064,PROD-1284,2025-06-26,6.0,927.17,64.9,15.0,Retrasado,Bogotá,App,False,False,False
TRX-10065,PROD-1187,2024-11-02,3.0,102.4,43.78,1.0,Sin Información,Sin Ciudad,Físico,False,False,False
TRX-10066,PROD-3708,2025-01-21,2.0,595.56,77.47,25.0,Sin Información,Cali,WhatsApp,False,False,True
TRX-10067,PROD-1933,2026-01-29,14.0,1177.89,16.87,17.0,Entregado,Cali,App,False,False,False
TRX-10068,PROD-2185,2025-06-24,8.0,626.15,23.19,11.0,Perdido,Medellín,WhatsApp,False,False,False
TRX-10069,PROD-1326,2025-05-11,6.0,1373.94,58.05,15.0,Perdido,Bogotá,WhatsApp,False,False,False
TRX-10070,PROD-1953,2025-07-23,4.0,1645.75,52.57,20.0,Retrasado,Sin Ciudad,WhatsApp,False,False,False
TRX-10071,PROD-1413,2024-12-17,5.0,846.67,30.31,16.0,Sin Información,Bogotá,Físico,False,False,False
TRX-10072,PROD-2556,2024-11-24,5.0,1801.27,52.36,21.0,Entregado,Medellín,App,False,False,False
TRX-10073,PROD-2138,2025-10-31,13.0,168.88,43.79,29.0,Devuelto,Bogotá,Físico,False,False,False
TRX-10074,PROD-2857,2025-04-02,9.0,1681.83,8.32,27.0,En Camino,Bogotá,Físico,False,False,False
TRX-10075,PROD-3603,2025-07-12,13.0,1658.86,8.52,9.0,Perdido,Cali,App,False,False,True
TRX-10076,PROD-2494,2024-10-23,13.0,650.77,14.02,29.0,Perdido,Sin Ciudad,Físico,False,False,False
TRX-10077,PROD-1666,2025-08-18,9.0,604.44,59.8,12.0,Perdido,Barranquilla,Online,False,False,False
TRX-10078,PROD-2516,2025-02-15,8.0,617.14,87.05,2.0,Perdido,Cali,App,False,False,False
TRX-10079,PROD-2455,2025-01-07,8.0,1624.67,29.72,15.0,Sin Información,Cali,Online,False,False,False
TRX-10080,PROD-1858,2025-09-16,12.0,1664.99,8.22,28.0,Retrasado,Sin Ciudad,App,False,False,False
TRX-10081,PROD-3745,2025-01-10,2.0,666.15,72.32,9.0,Sin Información,Sin Ciudad,App,False,False,True
TRX-10082,PROD-2093,2025-06-25,14.0,1189.25,86.26,28.0,Retrasado,Barranquilla,Físico,False,False,False
TRX-10083,PROD-3874,2025-04-20,3.0,286.48,18.13,16.0,Entregado,Bucaramanga,Físico,False,False,True
TRX-10084,PROD-3799,2025-02-08,14.0,942.87,52.36,17.0,Devuelto,Medellín,Físico,False,False,True
TRX-10085,PROD-3654,2024-12-17,8.0,1997.6,41.65,20.0,Entregado,Medellín,WhatsApp,False,False,True
TRX-10086,PROD-1292,2024-11-05,13.0,326.09,20.08,27.0,Sin Información,Bucaramanga,App,False,False,False
TRX-10087,PROD-3495,2024-12-13,5.0,1895.65,15.1,23.0,Sin Información,Cali,WhatsApp,False,False,False
TRX-10088,PROD-3600,2024-11-25,7.0,1650.27,66.58,4.0,Devuelto,Bogotá,Físico,False,False,True
TRX-10089,PROD-1700,2025-10-05,14.0,1944.71,96.92,8.0,Retrasado,Bogotá,Online,False,False,False
TRX-10090,PROD-3187,2025-11-14,8.0,367.36,69.43,7.0,Perdido,Barranquilla,Online,False,False,False
TRX-10091,PROD-3986,2025-08-31,6.0,434.9,98.56,6.0,Entregado,Cali,App,False,False,True
TRX-10092,PROD-2002,2025-08-09,5.0,43.57,46.27,5.0,Devuelto,Bogotá,WhatsApp,False,False,False
TRX-10093,PROD-1669,2024-11-16,8.0,1452.16,90.3,10.0,En Camino,Barranquilla,App,False,False,False
TRX-10094,PROD-2893,2024-12-05,1.0,1291.75,24.48,3.0,Devuelto,Barranquilla,Físico,False,False,False
TRX-10095,PROD-2554,2025-09-30,1.0,364.35,16.2,24.0,Entregado,Medellín,WhatsApp,False,False,False
TRX-10096,PROD-2105,2025-01-29,1.0,1584.38,52.36,20.0,Retrasado,Sin Ciudad,Online,False,False,False
TRX-10097,PROD-3621,2025-06-05,3.0,605.4,71.74,24.0,Perdido,Barranquilla,Físico,False,False,True
TRX-10098,PROD-3818,2025-11-18,10.0,278.64,40.28,17.0,En Camino,Cali,Físico,False,False,True
TRX-10099,PROD-3281,2025-05-11,13.0,850.9,35.18,16.0,Entregado,Medellín,Físico,False,False,False
TRX-10100,PROD-1899,2026-02-01,7.0,191.03,68.77,11.0,Retrasado,Bogotá,WhatsApp,False,True,False
TRX-10101,PROD-3804,2025-02-06,12.0,533.85,36.68,13.0,Devuelto,Medellín,Físico,False,False,True
TRX-10102,PROD-2328,2025-09-08,6.0,748.95,59.39,18.0,Retrasado,Cali,Online,False,False,False
TRX-10103,PROD-1229,2025-12-21,6.0,1705.21,33.45,14.0,Retrasado,Medellín,Físico,False,False,False
TRX-10104,PROD-1938,2025-10-28,5.0,1587.17,79.46,2.0,Perdido,Bucaramanga,WhatsApp,False,False,False
TRX-10105,PROD-1131,2025-09-12,13.0,891.08,34.68,12.0,Entregado,Sin Ciudad,WhatsApp,False,False,False
TRX-10106,PROD-2292,2025-01-12,13.0,1451.9,55.82,22.0,Sin Información,Medellín,Online,False,False,False
TRX-10107,PROD-2643,2026-01-20,14.0,1141.61,7.2,21.0,Retrasado,Medellín,WhatsApp,False,False,False
TRX-10108,PROD-2096,2025-07-27,7.0,688.28,52.36,29.0,Devuelto,Bucaramanga,Online,False,False,False
TRX-10109,PROD-1271,2025-02-15,5.0,1454.49,80.21,26.0,Devuelto,Medellín,App,False,False,False
TRX-10110,PROD-1864,2025-12-13,14.0,1370.16,63.93,10.0,Perdido,Medellín,Físico,False,False,False
TRX-10111,PROD-3323,2024-10-25,2.0,1242.0,23.26,29.0,Retrasado,Barranquilla,App,False,False,False
TRX-10112,PROD-3940,2025-06-09,4.0,1239.73,25.46,7.0,Devuelto,Bogotá,App,False,False,True
TRX-10113,PROD-2288,2024-12-18,1.0,1369.13,29.94,2.0,Sin Información,Bogotá,App,False,False,False
TRX-10114,PROD-1870,2025-08-19,7.0,775.25,59.77,25.0,Devuelto,Bogotá,Online,False,False,False
TRX-10115,PROD-3684,2025-12-02,4.0,1739.46,57.09,18.0,Perdido,Bucaramanga,Físico,False,False,True
TRX-10116,PROD-3044,2025-06-14,13.0,332.99,31.02,17.0,Retrasado,Medellín,App,False,False,False
TRX-10117,PROD-2620,2025-08-08,4.0,1768.93,70.94,16.0,Perdido,Bucaramanga,Online,False,False,False
TRX-10118,PROD-3633,2024-10-22,13.0,691.14,89.46,2.0,Retrasado,Medellín,WhatsApp,False,False,True
TRX-10119,PROD-2879,2025-10-19,4.0,258.81,9.13,11.0,Devuelto,Cali,App,False,False,False
TRX-10120,PROD-1585,2025-05-12,3.0,1204.05,52.36,19.0,Sin Información,Cali,Online,False,False,False
TRX-10121,PROD-2084,2025-10-16,8.0,758.21,44.63,22.0,Entregado,Sin Ciudad,Online,False,False,False
TRX-10122,PROD-1571,2024-12-07,4.0,1632.84,61.38,7.0,Devuelto,Bucaramanga,Online,False,False,False
TRX-10123,PROD-2010,2025-12-13,8.0,867.26,60.71,27.0,Entregado,Barranquilla,Online,False,False,False
TRX-10124,PROD-3299,2025-01-29,9.0,1340.44,6.86,22.0,Retrasado,Sin Ciudad,Físico,False,False,False
TRX-10125,PROD-3207,2025-06-20,1.0,623.43,25.0,17.0,Retrasado,Barranquilla,WhatsApp,False,False,False
TRX-10126,PROD-2076,2024-12-20,4.0,426.81,10.87,15.0,En Camino,Cali,Online,False,False,False
TRX-10127,PROD-3394,2026-01-01,6.0,782.22,59.05,9.0,Retrasado,Barranquilla,App,False,False,False
TRX-10128,PROD-2754,2025-11-18,8.0,1217.55,66.31,12.0,Retrasado,Medellín,WhatsApp,False,False,False
TRX-10129,PROD-3390,2025-03-11,14.0,1317.32,20.18,8.0,En Camino,Sin Ciudad,Físico,False,False,False
TRX-10130,PROD-2635,2025-01-28,6.0,1160.63,36.64,28.0,Entregado,Bogotá,App,False,False,False
TRX-10131,PROD-2482,2025-03-15,12.0,1976.23,36.33,2.0,Retrasado,Medellín,WhatsApp,False,False,False
TRX-10132,PROD-1898,2025-12-03,6.0,1385.27,52.36,17.0,Perdido,Bucaramanga,WhatsApp,False,False,False
TRX-10133,PROD-1566,2024-10-18,10.0,1863.72,82.88,16.0,Retrasado,Medellín,Físico,False,False,False
TRX-10134,PROD-3087,2024-11-22,4.0,244.69,23.49,23.0,Retrasado,Bogotá,App,False,False,False
TRX-10135,PROD-3021,2026-01-23,9.0,132.13,57.09,16.0,Devuelto,Bogotá,App,False,False,False
TRX-10136,PROD-1372,2025-10-06,7.0,628.88,79.38,3.0,Retrasado,Cali,Online,False,False,False
TRX-10137,PROD-1192,2024-11-28,14.0,281.81,83.81,19.0,Retrasado,Bogotá,WhatsApp,False,False,False
TRX-10138,PROD-1449,2025-12-04,11.0,1056.48,68.32,16.0,Perdido,Cali,App,False,False,False
TRX-10139,PROD-1626,2025-11-02,6.0,1042.77,33.46,11.0,En Camino,Bogotá,Físico,False,False,False
TRX-10140,PROD-3570,2024-10-18,1.0,1154.34,83.19,26.0,En Camino,Barranquilla,App,False,False,True
TRX-10141,PROD-1655,2024-12-14,2.0,1493.0,75.51,9.0,En Camino,Bogotá,Online,False,False,False
TRX-10142,PROD-3787,2026-01-27,12.0,1942.95,71.92,14.0,Devuelto,Medellín,WhatsApp,False,False,True
TRX-10143,PROD-2729,2025-09-21,6.0,1757.73,11.4,2.0,Retrasado,Medellín,Online,False,False,False
TRX-10144,PROD-3442,2025-09-24,11.0,245.55,52.36,13.0,Entregado,Cali,Físico,False,False,False
TRX-10145,PROD-1260,2024-11-21,1.0,683.64,9.11,5.0,Entregado,Bogotá,App,False,False,False
TRX-10146,PROD-2576,2024-10-31,11.0,519.09,71.06,20.0,Perdido,Cali,Online,False,False,False
TRX-10147,PROD-2563,2025-01-23,5.0,361.87,94.76,14.0,Devuelto,Barranquilla,Físico,False,False,False
TRX-10148,PROD-3440,2025-07-11,1.0,1094.0,78.5,1.0,Sin Información,Bogotá,Físico,False,False,False
TRX-10149,PROD-2917,2025-06-26,13.0,1111.0,83.99,6.0,Devuelto,Sin Ciudad,Online,False,False,False
TRX-10150,PROD-3167,2025-11-21,3.0,462.22,56.77,22.0,Retrasado,Barranquilla,Físico,False,False,False
TRX-10151,PROD-2029,2025-10-01,12.0,1426.68,33.94,11.0,Sin Información,Bogotá,App,False,False,False
TRX-10152,PROD-3266,2025-07-23,12.0,1468.5,69.39,17.0,Entregado,Cali,App,False,False,False
TRX-10153,PROD-1047,2025-07-01,12.0,51.75,72.64,23.0,Devuelto,Barranquilla,App,False,False,False
TRX-10154,PROD-3786,2025-04-01,7.0,797.56,69.16,22.0,Perdido,Bogotá,Físico,False,False,True
TRX-10155,PROD-3952,2025-12-27,5.0,1781.38,94.94,14.0,Entregado,Sin Ciudad,Físico,False,False,True
TRX-10156,PROD-1469,2025-07-11,12.0,1045.43,52.36,14.0,Devuelto,Medellín,App,False,False,False
TRX-10157,PROD-3792,2025-02-21,10.0,701.78,39.88,20.0,Retrasado,Cali,App,False,False,True
TRX-10158,PROD-3199,2025-10-11,1.0,514.82,8.77,7.0,Retrasado,Bogotá,WhatsApp,False,False,False
TRX-10159,PROD-2092,2025-05-13,1.0,494.28,91.3,19.0,Sin Información,Bogotá,Online,False,False,False
TRX-10160,PROD-3625,2026-01-09,8.0,208.54,20.25,26.0,Retrasado,Bogotá,App,False,False,True
TRX-10161,PROD-2393,2025-11-01,11.0,1636.28,71.25,27.0,Retrasado,Medellín,Físico,False,False,False
TRX-10162,PROD-1456,2025-02-15,14.0,182.45,87.95,22.0,Entregado,Bucaramanga,Online,False,False,False
TRX-10163,PROD-2202,2025-06-20,13.0,591.67,34.46,6.0,Entregado,Cali,Físico,False,False,False
TRX-10164,PROD-2780,2025-08-23,9.0,100.89,83.89,13.0,Devuelto,Sin Ciudad,Físico,False,False,False
TRX-10165,PROD-1647,2025-02-03,7.0,1564.96,36.55,10.0,Perdido,Bogotá,WhatsApp,False,False,False
TRX-10166,PROD-2858,2025-03-12,13.0,88.17,80.45,22.0,En Camino,Bucaramanga,App,False,False,False
TRX-10167,PROD-1013,2025-11-11,3.0,623.52,11.63,19.0,En Camino,Bogotá,WhatsApp,False,False,False
TRX-10168,PROD-3957,2024-10-20,12.0,1150.86,52.36,10.0,Retrasado,Cali,Online,False,False,True
TRX-10169,PROD-3947,2025-02-05,6.0,825.03,67.25,5.0,Devuelto,Bucaramanga,Físico,False,False,True
TRX-10170,PROD-2078,2025-11-09,3.0,571.72,69.33,13.0,En Camino,Sin Ciudad,Físico,False,False,False
TRX-10171,PROD-3050,2025-11-01,10.0,557.63,51.69,17.0,En Camino,Medellín,App,False,False,False
TRX-10172,PROD-1731,2025-12-31,4.0,1597.6,70.27,22.0,En Camino,Cali,Físico,False,False,False
TRX-10173,PROD-3079,2025-10-03,12.0,1948.22,92.7,23.0,En Camino,Bucaramanga,Físico,False,False,False
TRX-10174,PROD-1435,2025-05-21,4.0,702.6,74.72,5.0,Sin Información,Barranquilla,WhatsApp,False,False,False
TRX-10175,PROD-3561,2025-09-01,3.0,87.9,96.32,21.0,En Camino,Cali,App,False,False,True
TRX-10176,PROD-2222,2025-12-08,10.0,82.77,47.62,29.0,Sin Información,Medellín,App,False,False,False
TRX-10177,PROD-3617,2025-12-10,6.0,1520.83,55.19,22.0,Sin Información,Bogotá,App,False,False,True
TRX-10178,PROD-3079,2025-11-30,5.0,1109.22,30.06,7.0,Devuelto,Barranquilla,Físico,False,False,False
TRX-10179,PROD-3494,2025-05-08,11.0,1569.35,98.63,20.0,En Camino,Sin Ciudad,WhatsApp,False,False,False
TRX-10180,PROD-1814,2025-07-06,9.0,1398.02,52.36,7.0,En Camino,Cali,Online,False,False,False
TRX-10181,PROD-1626,2025-07-22,9.0,1815.94,10.24,15.0,Sin Información,Sin Ciudad,Físico,False,False,False
TRX-10182,PROD-2531,2024-10-26,3.0,1772.79,39.07,15.0,Devuelto,Bucaramanga,WhatsApp,False,False,False
TRX-10183,PROD-1661,2024-09-24,13.0,1578.77,33.28,21.0,Entregado,Bucaramanga,Online,False,False,False
TRX-10184,PROD-3209,2025-09-19,9.0,955.63,41.72,23.0,Entregado,Medellín,Físico,False,False,False
TRX-10185,PROD-3172,2025-04-05,13.0,623.17,92.18,1.0,Entregado,Cali,Físico,False,False,False
TRX-10186,PROD-1002,2024-12-25,12.0,1018.98,39.96,26.0,En Camino,Bogotá,Online,False,False,False
TRX-10187,PROD-3453,2025-08-16,3.0,1009.12,92.11,12.0,Devuelto,Bucaramanga,Físico,False,False,False
TRX-10188,PROD-2327,2025-07-27,4.0,1224.45,45.22,2.0,Entregado,Medellín,Físico,False,False,False
TRX-10189,PROD-3001,2025-02-04,1.0,380.33,86.2,18.0,Retrasado,Sin Ciudad,Físico,False,False,False
TRX-10190,PROD-1079,2025-04-14,5.0,1314.68,54.57,15.0,Retrasado,Cali,WhatsApp,False,False,False
TRX-10191,PROD-1458,2025-05-30,12.0,918.64,34.58,7.0,Devuelto,Cali,WhatsApp,False,False,False
TRX-10192,PROD-2486,2025-02-16,9.0,1244.21,52.36,9.0,En Camino,Bogotá,Físico,False,False,False
TRX-10193,PROD-2259,2025-09-03,2.0,486.81,47.69,23.0,Sin Información,Medellín,WhatsApp,False,False,False
TRX-10194,PROD-1980,2025-09-05,4.0,874.45,45.32,28.0,Entregado,Barranquilla,Físico,False,False,False
TRX-10195,PROD-1237,2025-06-03,10.0,428.3,29.69,22.0,En Camino,Medellín,WhatsApp,False,False,False
TRX-10196,PROD-1986,2025-10-26,2.0,1751.86,32.52,3.0,Sin Información,Barranquilla,WhatsApp,False,False,False
TRX-10197,PROD-3323,2025-08-22,14.0,981.04,22.71,21.0,Entregado,Barranquilla,WhatsApp,False,False,False
TRX-10198,PROD-1322,2025-03-17,8.0,457.71,36.92,10.0,Perdido,Bogotá,Online,False,False,False
TRX-10199,PROD-1350,2025-01-25,9.0,92.01,64.32,2.0,Perdido,Medellín,Físico,False,False,False
TRX-10200,PROD-3997,2025-05-31,7.0,1354.72,41.72,15.0,En Camino,Medellín,Online,True,False,True
TRX-10201,PROD-2990,2025-10-25,3.0,437.14,72.67,25.0,Retrasado,Bogotá,WhatsApp,False,False,False
TRX-10202,PROD-1283,2025-01-31,13.0,1979.27,98.76,22.0,En Camino,Cali,WhatsApp,False,False,False
TRX-10203,PROD-3181,2024-11-11,9.0,1072.06,40.82,25.0,Entregado,Bucaramanga,Físico,False,False,False
TRX-10204,PROD-1515,2024-12-24,6.0,585.06,52.36,25.0,En Camino,Sin Ciudad,App,False,False,False
TRX-10205,PROD-1525,2025-10-07,6.0,1318.78,48.95,12.0,En Camino,Cali,Físico,False,False,False
TRX-10206,PROD-3702,2025-07-29,7.0,557.69,20.59,7.0,Entregado,Medellín,App,False,False,True
TRX-10207,PROD-2946,2025-10-17,12.0,1642.35,42.26,5.0,Retrasado,Medellín,WhatsApp,False,False,False
TRX-10208,PROD-3251,2025-11-29,5.0,623.39,74.05,4.0,Perdido,Sin Ciudad,Online,False,False,False
TRX-10209,PROD-1676,2025-11-03,6.0,1976.61,25.65,1.0,Sin Información,Medellín,Físico,False,False,False
TRX-10210,PROD-2085,2025-04-30,11.0,1214.24,22.3,15.0,Entregado,Bogotá,App,False,False,False
TRX-10211,PROD-3161,2025-08-22,1.0,1690.38,40.76,9.0,En Camino,Bucaramanga,App,False,False,False
TRX-10212,PROD-3484,2025-08-22,3.0,154.9,82.77,6.0,Devuelto,Bucaramanga,App,False,False,False
TRX-10213,PROD-2733,2024-10-12,12.0,703.12,64.25,14.0,En Camino,Medellín,Físico,False,False,False
TRX-10214,PROD-1867,2025-04-15,9.0,1477.6,95.97,2.0,Sin Información,Bogotá,Físico,False,False,False
TRX-10215,PROD-3208,2024-12-22,12.0,1313.57,90.93,12.0,En Camino,Bogotá,App,False,False,False
TRX-10216,PROD-3989,2025-12-10,5.0,396.54,52.36,23.0,Devuelto,Bucaramanga,Online,False,False,True
TRX-10217,PROD-3825,2025-09-12,5.0,718.84,19.36,28.0,Sin Información,Bogotá,App,False,False,True
TRX-10218,PROD-1823,2025-03-14,8.0,534.25,9.04,6.0,En Camino,Bucaramanga,Online,False,False,False
TRX-10219,PROD-3920,2025-03-30,11.0,1230.61,42.91,13.0,Devuelto,Bogotá,Físico,False,False,True
TRX-10220,PROD-2276,2025-07-31,11.0,695.69,54.6,4.0,En Camino,Medellín,Físico,False,False,False
TRX-10221,PROD-2634,2024-09-24,13.0,625.02,53.98,22.0,Retrasado,Bogotá,Físico,False,False,False
TRX-10222,PROD-3751,2025-09-18,2.0,422.68,17.74,16.0,Sin Información,Medellín,WhatsApp,False,False,True
TRX-10223,PROD-3661,2025-11-25,13.0,823.96,16.86,29.0,Perdido,Medellín,Online,False,False,True
TRX-10224,PROD-2529,2025-03-09,7.0,399.05,9.45,11.0,Retrasado,Bogotá,WhatsApp,False,False,False
TRX-10225,PROD-2794,2025-09-25,9.0,1925.51,85.83,6.0,Entregado,Bucaramanga,Físico,False,False,False
TRX-10226,PROD-3119,2024-10-16,7.0,317.46,95.04,5.0,Entregado,Medellín,App,False,False,False
TRX-10227,PROD-2849,2025-11-09,12.0,1827.48,15.99,1.0,En Camino,Medellín,App,False,False,False
TRX-10228,PROD-1495,2025-12-17,5.0,862.66,52.36,19.0,Entregado,Bucaramanga,WhatsApp,False,False,False
TRX-10229,PROD-2015,2025-09-22,13.0,761.95,25.25,7.0,Entregado,Sin Ciudad,App,False,False,False
TRX-10230,PROD-1920,2024-11-29,6.0,470.33,13.54,18.0,En Camino,Bucaramanga,Físico,False,False,False
TRX-10231,PROD-1262,2025-09-27,4.0,1275.16,88.36,10.0,En Camino,Medellín,WhatsApp,False,False,False
