Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Feedback_UID,NPS_Categoria
FB-8048,TRX-16181,1.0,2,No volvería,Tal vez,False,77.0,18.5,FBK-000048,Pasivo
FB-8049,TRX-17786,5.0,2,No volvería,Sin Respuesta,False,43.0,-94.7,FBK-000049,Detractor
FB-8050,TRX-19923,5.0,2,No volvería,Tal vez,True,60.0,82.7,FBK-000050,Promotor
FB-8051,TRX-12175,5.0,5,Sin Comentario,Sí,True,50.0,28.9,FBK-000051,Pasivo
FB-8052,TRX-12269,4.0,3,Precio justo,No,True,37.0,-32.6,FBK-000052,Detractor
FB-8053,TRX-18270,2.0,3,No volvería,Sí,False,33.0,-26.7,FBK-000053,Detractor
FB-8054,TRX-17551,1.0,3,Sin Comentario,Sin Respuesta,False,49.0,-93.7,FBK-000054,Detractor
FB-8055,TRX-17371,3.0,5,Lento,Sin Respuesta,False,28.0,94.9,FBK-000055,Promotor
FB-8056,TRX-17357,2.0,5,Sin Comentario,Sí,False,79.0,72.1,FBK-000056,Promotor
FB-8057,TRX-12440,3.0,1,No volvería,No,False,43.0,-86.9,FBK-000057,Detractor
FB-8058,TRX-15328,3.0,1,Dañado,No,True,18.0,36.3,FBK-000058,Pasivo
FB-8059,TRX-11463,3.0,2,Excelente,No,False,29.0,-10.2,FBK-000059,Detractor
FB-8060,TRX-16711,4.0,5,Sin Comentario,Sí,True,74.0,61.7,FBK-000060,Promotor
FB-8061,TRX-16344,4.0,3,Dañado,Sin Respuesta,False,67.0,24.7,FBK-000061,Pasivo
FB-8062,TRX-13814,2.0,3,Sin Comentario,Sin Respuesta,False,36.0,-17.4,FBK-000062,Detractor
FB-8063,TRX-16478,5.0,1,Lento,Sin Respuesta,False,22.0,-12.7,FBK-000063,Detractor
FB-8064,TRX-15554,4.0,2,Lento,Tal vez,False,48.0,30.3,FBK-000064,Pasivo
FB-8065,TRX-18863,1.0,2,Excelente,Sin Respuesta,True,39.0,30.9,FBK-000065,Pasivo
FB-8066,TRX-10750,2.0,4,Lento,No,True,83.0,11.5,FBK-000066,Pasivo
FB-8067,TRX-17259,1.0,5,Lento,Tal vez,True,21.0,76.8,FBK-000067,Promotor
FB-8068,TRX-14544,3.0,3,No volvería,Sí,True,47.0,55.9,FBK-000068,Promotor
FB-8069,TRX-11450,1.0,3,Excelente,No,False,40.0,-76.3,FBK-000069,Detractor
FB-8070,TRX-12713,4.0,1,Sin Comentario,Sí,False,75.0,74.4,FBK-000070,Promotor
FB-8071,TRX-10406,1.0,1,Dañado,Sin Respuesta,False,38.0,-59.6,FBK-000071,Detractor
FB-8072,TRX-19371,3.0,5,No volvería,Tal vez,False,71.0,90.1,FBK-000072,Promotor
FB-8073,TRX-15060,3.0,1,No volvería,Sí,True,76.0,61.5,FBK-000073,Promotor
FB-8074,TRX-19192,4.0,1,Dañado,No,False,24.0,81.8,FBK-000074,Promotor
FB-8075,TRX-12028,2.0,3,Lento,No,True,63.0,35.3,FBK-000075,Pasivo
FB-8076,TRX-19164,5.0,5,Precio justo,Sí,False,80.0,30.3,FBK-000076,Pasivo
FB-8077,TRX-11395,2.0,3,Sin Comentario,Sin Respuesta,False,56.0,-50.2,FBK-000077,Detractor
FB-8078,TRX-13152,5.0,3,Sin Comentario,Tal vez,False,84.0,25.2,FBK-000078,Pasivo
FB-8079,TRX-18877,4.0,1,Sin Comentario,Sin Respuesta,False,84.0,-16.0,FBK-000079,Detractor
FB-8080,TRX-19451,4.0,3,Precio justo,Sin Respuesta,True,58.0,-69.3,FBK-000080,Detractor
FB-8081,TRX-10866,4.0,5,Sin Comentario,Sin Respuesta,True,49.0,-28.0,FBK-000081,Detractor
FB-8082,TRX-19342,3.0,1,Sin Comentario,Sí,False,53.0,32.4,FBK-000082,Pasivo
FB-8083,TRX-18548,2.0,5,Lento,Sin Respuesta,False,20.0,75.1,FBK-000083,Promotor
FB-8084,TRX-13103,5.0,2,Sin Comentario,Sí,True,73.0,-12.4,FBK-000084,Detractor
FB-8085,TRX-17796,2.0,5,No volvería,No,True,30.0,-42.0,FBK-000085,Detractor
FB-8086,TRX-18235,5.0,5,Dañado,No,False,66.0,-67.8,FBK-000086,Detractor
FB-8087,TRX-10305,1.0,4,Precio justo,No,True,84.0,-19.4,FBK-000087,Detractor
FB-8088,TRX-11970,2.0,5,No volvería,Sí,False,64.0,-43.1,FBK-000088,Detractor
FB-8089,TRX-18713,1.0,3,Precio justo,Sí,True,41.0,-10.6,FBK-000089,Detractor
FB-8090,TRX-12944,4.0,3,Dañado,Tal vez,True,57.0,-79.9,FBK-000090,Detractor
FB-8091,TRX-10310,3.0,1,No volvería,Sin Respuesta,False,41.0,47.1,FBK-000091,Pasivo
FB-8092,TRX-14504,3.0,2,Sin Comentario,Sí,True,74.0,-99.1,FBK-000092,Detractor
FB-8093,TRX-13371,2.0,1,Sin Comentario,Sí,False,41.0,39.9,FBK-000093,Pasivo
FB-8094,TRX-14018,1.0,5,Excelente,Sin Respuesta,True,80.0,-38.7,FBK-000094,Detractor
FB-8095,TRX-19495,1.0,5,No volvería,Tal vez,False,36.0,-28.2,FBK-000095,Detractor
FB-8096,TRX-17278,5.0,3,Excelente,Sin Respuesta,False,79.0,-65.8,FBK-000096,Detractor
FB-8097,TRX-11386,2.0,5,Lento,Sin Respuesta,True,47.0,93.6,FBK-000097,Promotor
FB-8098,TRX-18741,2.0,5,Dañado,No,False,82.0,-89.4,FBK-000098,Detractor
FB-8099,TRX-19942,1.0,3,Precio justo,No,True,19.0,-43.4,FBK-000099,Detractor
FB-8100,TRX-15249,1.0,2,Lento,Sin Respuesta,False,23.0,-70.6,FBK-000100,Detractor
FB-8101,TRX-16583,3.0,5,Lento,Tal vez,True,81.0,-3.5,FBK-000101,Detractor
FB-8102,TRX-19648,2.0,4,Sin Comentario,Tal vez,False,27.0,12.0,FBK-000102,Pasivo
FB-8103,TRX-10737,3.0,2,Sin Comentario,Tal vez,True,41.0,-60.7,FBK-000103,Detractor
FB-8104,TRX-18052,4.0,2,No volvería,Sí,True,20.0,31.1,FBK-000104,Pasivo
FB-8105,TRX-10381,4.0,3,No volvería,No,True,64.0,10.5,FBK-000105,Pasivo
FB-8106,TRX-15569,1.0,1,Sin Comentario,Tal vez,True,64.0,68.4,FBK-000106,Promotor
FB-8107,TRX-17160,5.0,5,Sin Comentario,Sí,True,73.0,81.3,FBK-000107,Promotor
FB-8108,TRX-12957,1.0,5,Excelente,Sin Respuesta,True,70.0,38.9,FBK-000108,Pasivo
FB-8109,TRX-16798,2.0,1,Excelente,Sin Respuesta,True,67.0,26.1,FBK-000109,Pasivo
FB-8110,TRX-10394,1.0,5,Lento,Sin Respuesta,True,33.0,21.1,FBK-000110,Pasivo
FB-8111,TRX-18649,3.0,4,Lento,No,True,21.0,-66.6,FBK-000111,Detractor
FB-8112,TRX-15199,1.0,1,No volvería,Sí,True,28.0,76.6,FBK-000112,Promotor
FB-8113,TRX-16258,3.0,3,No volvería,Sin Respuesta,False,41.0,-28.0,FBK-000113,Detractor
FB-8114,TRX-14213,4.0,1,Sin Comentario,Tal vez,False,48.0,38.3,FBK-000114,Pasivo
FB-8115,TRX-11491,3.0,2,Sin Comentario,Tal vez,True,67.0,-11.9,FBK-000115,Detractor
FB-8116,TRX-11878,2.0,3,Precio justo,Tal vez,False,49.0,80.6,FBK-000116,Promotor
FB-8117,TRX-11627,1.0,2,Dañado,Tal vez,False,76.0,-18.5,FBK-000117,Detractor
FB-8118,TRX-18876,2.0,3,Precio justo,Sin Respuesta,True,29.0,12.0,FBK-000118,Pasivo
FB-8119,TRX-12755,3.0,1,Dañado,Tal vez,False,34.0,-62.5,FBK-000119,Detractor
FB-8120,TRX-14675,3.0,2,Lento,Tal vez,False,19.0,10.8,FBK-000120,Pasivo
FB-8121,TRX-12359,3.0,3,No volvería,Sin Respuesta,False,56.0,-59.5,FBK-000121,Detractor
FB-8122,TRX-12992,3.0,5,Precio justo,Sí,True,67.0,58.9,FBK-000122,Promotor
FB-8123,TRX-14187,3.0,2,Sin Comentario,Sin Respuesta,False,68.0,-26.5,FBK-000123,Detractor
FB-8124,TRX-11468,1.0,4,Dañado,No,False,48.0,-15.1,FBK-000124,Detractor
FB-8125,TRX-12526,5.0,3,Sin Comentario,No,False,42.0,28.1,FBK-000125,Pasivo
FB-8126,TRX-15026,2.0,5,Sin Comentario,Sin Respuesta,True,74.0,-82.8,FBK-000126,Detractor
FB-8127,TRX-16672,4.0,5,Sin Comentario,No,False,45.0,-37.0,FBK-000127,Detractor
FB-8128,TRX-12772,4.0,1,Excelente,Sí,True,62.0,86.7,FBK-000128,Promotor
FB-8129,TRX-10965,2.0,1,Dañado,Sí,False,43.0,72.4,FBK-000129,Promotor
FB-8130,TRX-15329,1.0,2,Dañado,Tal vez,False,46.0,-53.8,FBK-000130,Detractor
FB-8131,TRX-12973,2.0,2,Sin Comentario,No,False,72.0,2.6,FBK-000131,Pasivo
FB-8132,TRX-10445,3.0,4,No volvería,Sí,False,57.0,16.7,FBK-000132,Pasivo
FB-8133,TRX-10958,5.0,5,Precio justo,Sí,False,22.0,-39.7,FBK-000133,Detractor
FB-8134,TRX-14882,2.0,3,Lento,No,False,75.0,-30.5,FBK-000134,Detractor
FB-8135,TRX-16388,1.0,4,Precio justo,Sin Respuesta,True,78.0,95.6,FBK-000135,Promotor
FB-8136,TRX-11617,3.0,4,Lento,Sí,False,39.0,-72.3,FBK-000136,Detractor
FB-8137,TRX-15243,2.0,4,Sin Comentario,Tal vez,True,54.0,82.3,FBK-000137,Promotor
FB-8138,TRX-12334,2.0,3,Sin Comentario,No,False,48.0,-29.2,FBK-000138,Detractor
FB-8139,TRX-16763,3.0,4,Excelente,Tal vez,True,31.0,-52.2,FBK-000139,Detractor
FB-8140,TRX-15311,1.0,1,Sin Comentario,Sí,False,51.0,-47.9,FBK-000140,Detractor
FB-8141,TRX-14225,5.0,1,Sin Comentario,Sí,False,70.0,-43.3,FBK-000141,Detractor
FB-8142,TRX-16152,5.0,1,No volvería,Sí,False,38.0,-42.6,FBK-000142,Detractor
FB-8143,TRX-11981,3.0,4,Dañado,No,True,54.0,-49.2,FBK-000143,Detractor
FB-8144,TRX-10849,4.0,4,Sin Comentario,Sí,True,41.0,68.5,FBK-000144,Promotor
FB-8145,TRX-13318,1.0,5,Precio justo,Sin Respuesta,False,81.0,-46.4,FBK-000145,Detractor
FB-8146,TRX-13925,4.0,2,Precio justo,No,False,34.0,72.4,FBK-000146,Promotor
FB-8147,TRX-19781,4.0,5,Lento,Sin Respuesta,True,63.0,93.9,FBK-000147,Promotor
FB-8148,TRX-19601,4.0,1,Sin Comentario,Sí,False,48.0,-44.2,FBK-000148,Detractor
FB-8149,TRX-13874,1.0,2,Precio justo,Tal vez,False,67.0,13.0,FBK-000149,Pasivo
FB-8150,TRX-18076,3.0,5,Sin Comentario,Tal vez,False,67.0,-8.8,FBK-000150,Detractor
FB-8151,TRX-18333,4.0,3,Dañado,No,True,60.0,69.3,FBK-000151,Promotor
FB-8152,TRX-18264,3.0,3,Lento,Sí,False,34.0,-38.3,FBK-000152,Detractor
FB-8153,TRX-16308,2.0,3,Dañado,No,False,36.0,53.0,FBK-000153,Promotor
FB-8154,TRX-11885,3.0,1,Sin Comentario,Sí,False,67.0,-4.9,FBK-000154,Detractor
FB-8155,TRX-14412,2.0,2,Sin Comentario,Sin Respuesta,False,79.0,26.2,FBK-000155,Pasivo
FB-8156,TRX-10993,5.0,1,Lento,Sin Respuesta,False,44.0,15.3,FBK-000156,Pasivo
FB-8157,TRX-15215,4.0,3,Dañado,No,False,57.0,-87.5,FBK-000157,Detractor
FB-8158,TRX-17615,5.0,4,Lento,Sin Respuesta,False,54.0,17.7,FBK-000158,Pasivo
FB-8159,TRX-19062,5.0,1,No volvería,Tal vez,False,33.0,65.5,FBK-000159,Promotor
FB-8160,TRX-16669,1.0,2,Precio justo,No,False,43.0,-42.3,FBK-000160,Detractor
FB-8161,TRX-11072,4.0,1,Dañado,Sin Respuesta,True,76.0,-19.5,FBK-000161,Detractor
FB-8162,TRX-17932,5.0,2,Sin Comentario,Sí,True,82.0,-59.0,FBK-000162,Detractor
FB-8163,TRX-10473,2.0,4,Excelente,No,False,50.0,-58.1,FBK-000163,Detractor
FB-8164,TRX-16676,2.0,5,Sin Comentario,Tal vez,False,51.0,-38.6,FBK-000164,Detractor
FB-8165,TRX-13829,1.0,2,No volvería,Sí,False,77.0,50.7,FBK-000165,Promotor
FB-8166,TRX-10305,5.0,2,No volvería,Tal vez,False,68.0,-3.7,FBK-000166,Detractor
FB-8167,TRX-14409,5.0,3,Sin Comentario,Sí,True,81.0,38.2,FBK-000167,Pasivo
FB-8168,TRX-19077,5.0,3,Dañado,Sí,False,38.0,87.1,FBK-000168,Promotor
FB-8169,TRX-19603,1.0,4,Dañado,Tal vez,True,24.0,46.1,FBK-000169,Pasivo
FB-8170,TRX-11663,4.0,1,Sin Comentario,Sí,True,82.0,-25.4,FBK-000170,Detractor
FB-8171,TRX-14035,5.0,5,Excelente,No,True,82.0,2.1,FBK-000171,Pasivo
FB-8172,TRX-19088,5.0,5,Sin Comentario,Sin Respuesta,False,81.0,-44.3,FBK-000172,Detractor
FB-8173,TRX-12057,3.0,4,Dañado,Sí,False,35.0,-86.9,FBK-000173,Detractor
FB-8174,TRX-14990,2.0,5,Sin Comentario,No,True,78.0,33.2,FBK-000174,Pasivo
FB-8175,TRX-19310,4.0,1,Excelente,Sí,False,33.0,32.4,FBK-000175,Pasivo
FB-8176,TRX-16664,4.0,3,Dañado,Tal vez,True,82.0,71.2,FBK-000176,Promotor
FB-8177,TRX-17306,4.0,4,Excelente,No,True,78.0,-68.1,FBK-000177,Detractor
FB-8178,TRX-11374,5.0,5,Lento,Sí,True,81.0,76.9,FBK-000178,Promotor
FB-8179,TRX-18199,3.0,4,Precio justo,Tal vez,True,47.0,58.9,FBK-000179,Promotor
FB-8180,TRX-13333,4.0,4,Precio justo,Sí,False,27.0,-78.5,FBK-000180,Detractor
FB-8181,TRX-12332,1.0,2,Dañado,No,True,46.0,96.5,FBK-000181,Promotor
FB-8182,TRX-16116,1.0,2,Dañado,No,False,39.0,-92.2,FBK-000182,Detractor
FB-8183,TRX-18854,2.0,4,Sin Comentario,Sin Respuesta,False,31.0,59.0,FBK-000183,Promotor
FB-8184,TRX-12755,3.0,2,Precio justo,Sí,True,23.0,-14.3,FBK-000184,Detractor
FB-8185,TRX-14016,4.0,5,Sin Comentario,No,False,61.0,73.1,FBK-000185,Promotor
FB-8186,TRX-18806,3.0,4,Precio justo,Tal vez,True,80.0,45.7,FBK-000186,Pasivo
FB-8187,TRX-16942,1.0,2,Excelente,No,True,67.0,-87.9,FBK-000187,Detractor
FB-8188,TRX-19095,4.0,5,Excelente,Sí,True,78.0,-52.0,FBK-000188,Detractor
FB-8189,TRX-17401,5.0,3,Lento,No,False,37.0,90.5,FBK-000189,Promotor
FB-8190,TRX-10684,1.0,3,Sin Comentario,No,True,83.0,-70.6,FBK-000190,Detractor
FB-8191,TRX-10016,2.0,4,Lento,Sin Respuesta,True,32.0,-86.3,FBK-000191,Detractor
FB-8192,TRX-17612,4.0,1,Excelente,No,True,55.0,-69.1,FBK-000192,Detractor
FB-8193,TRX-14739,2.0,5,Lento,Sí,True,22.0,44.1,FBK-000193,Pasivo
FB-8194,TRX-12742,3.0,4,No volvería,Sí,True,32.0,-92.1,FBK-000194,Detractor
FB-8195,TRX-10008,2.0,2,Sin Comentario,No,False,28.0,-13.4,FBK-000195,Detractor
FB-8196,TRX-10985,2.0,3,Sin Comentario,No,False,68.0,-81.7,FBK-000196,Detractor
FB-8197,TRX-17900,5.0,2,Sin Comentario,No,False,50.0,37.4,FBK-000197,Pasivo
FB-8198,TRX-14477,2.0,5,Excelente,Tal vez,True,53.0,-49.4,FBK-000198,Detractor
FB-8199,TRX-19795,5.0,4,Lento,Sí,False,58.0,36.9,FBK-000199,Pasivo
FB-8200,TRX-14110,2.0,3,Lento,Sí,True,50.0,-64.9,FBK-000200,Detractor
FB-8201,TRX-16228,5.0,5,Dañado,Sí,False,52.0,-20.8,FBK-000201,Detractor
FB-8202,TRX-15757,1.0,3,Dañado,Sí,False,74.0,85.1,FBK-000202,Promotor
FB-8203,TRX-13485,5.0,3,Dañado,Tal vez,False,81.0,-23.2,FBK-000203,Detractor
FB-8204,TRX-19587,1.0,4,Precio justo,Sí,False,50.0,-77.2,FBK-000204,Detractor
FB-8205,TRX-18361,1.0,4,Sin Comentario,Sin Respuesta,True,50.0,-26.0,FBK-000205,Detractor
FB-8206,TRX-14609,4.0,1,Precio justo,No,False,35.0,-9.1,FBK-000206,Detractor
FB-8207,TRX-10745,1.0,1,Precio justo,Sí,True,28.0,-8.3,FBK-000207,Detractor
FB-8208,TRX-12644,4.0,1,Excelente,No,False,79.0,41.8,FBK-000208,Pasivo
FB-8209,TRX-18750,5.0,1,Dañado,Sí,False,64.0,-75.1,FBK-000209,Detractor
FB-8210,TRX-19225,3.0,2,Dañado,Tal vez,True,78.0,-7.7,FBK-000210,Detractor
FB-8211,TRX-11145,4.0,1,Excelente,Tal vez,False,73.0,-49.2,FBK-000211,Detractor
FB-8212,TRX-14925,3.0,2,Precio justo,Sin Respuesta,True,41.0,-11.1,FBK-000212,Detractor
FB-8213,TRX-11469,5.0,3,Sin Comentario,Tal vez,False,82.0,-65.4,FBK-000213,Detractor
FB-8214,TRX-16476,4.0,2,Lento,Tal vez,True,23.0,-52.9,FBK-000214,Detractor
FB-8215,TRX-12014,5.0,3,No volvería,Tal vez,True,43.0,10.6,FBK-000215,Pasivo
FB-8216,TRX-12288,3.0,1,Dañado,Sí,False,82.0,-39.7,FBK-000216,Detractor
FB-8217,TRX-19117,5.0,2,Precio justo,No,False,71.0,-68.1,FBK-000217,Detractor
FB-8218,TRX-14578,3.0,3,Lento,Sin Respuesta,False,79.0,23.9,FBK-000218,Pasivo
FB-8219,TRX-17077,1.0,1,Dañado,No,False,29.0,67.3,FBK-000219,Promotor
FB-8220,TRX-13454,3.0,3,Dañado,Sin Respuesta,True,41.0,64.3,FBK-000220,Promotor
FB-8221,TRX-18270,3.0,4,No volvería,Sin Respuesta,False,56.0,66.8,FBK-000221,Promotor
FB-8222,TRX-15215,1.0,3,Precio justo,Sí,True,39.0,-96.6,FBK-000222,Detractor
FB-8223,TRX-15613,4.0,1,Sin Comentario,No,True,65.0,37.2,FBK-000223,Pasivo
FB-8224,TRX-14282,2.0,5,Excelente,No,True,21.0,99.8,FBK-000224,Promotor
FB-8225,TRX-17417,4.0,4,Lento,No,True,46.0,45.3,FBK-000225,Pasivo
FB-8226,TRX-14473,2.0,2,Sin Comentario,Sin Respuesta,True,23.0,-46.8,FBK-000226,Detractor
FB-8227,TRX-14029,1.0,4,Sin Comentario,Sin Respuesta,False,64.0,12.8,FBK-000227,Pasivo
FB-8228,TRX-15269,4.0,1,Lento,Sin Respuesta,True,72.0,-4.4,FBK-000228,Detractor
FB-8229,TRX-15597,5.0,3,Precio justo,Sí,True,72.0,-8.2,FBK-000229,Detractor
FB-8230,TRX-13450,5.0,5,Lento,Sin Respuesta,False,66.0,44.5,FBK-000230,Pasivo
FB-8231,TRX-17533,4.0,1,Sin Comentario,Sí,False,42.0,-74.6,FBK-000231,Detractor
FB-8232,TRX-19822,5.0,3,Sin Comentario,No,True,62.0,-76.1,FBK-000232,Detractor
FB-8233,TRX-15381,1.0,1,Excelente,Sí,False,25.0,1.3,FBK-000233,Pasivo
FB-8234,TRX-10260,5.0,5,Sin Comentario,Tal vez,False,28.0,94.8,FBK-000234,Promotor
FB-8235,TRX-12190,5.0,3,Sin Comentario,Tal vez,False,18.0,-87.7,FBK-000235,Detractor
FB-8236,TRX-10033,2.0,5,Lento,No,True,45.0,-25.9,FBK-000236,Detractor
FB-8237,TRX-19974,2.0,3,Precio justo,Tal vez,False,26.0,1.8,FBK-000237,Pasivo
FB-8238,TRX-17807,3.0,4,Excelente,Sin Respuesta,True,66.0,-99.7,FBK-000238,Detractor
FB-8239,TRX-10070,1.0,1,No volvería,Tal vez,False,83.0,-41.1,FBK-000239,Detractor
FB-8240,TRX-10156,5.0,2,Sin Comentario,Sí,True,39.0,-77.8,FBK-000240,Detractor
FB-8241,TRX-12843,1.0,2,Precio justo,Sin Respuesta,True,56.0,41.1,FBK-000241,Pasivo
FB-8242,TRX-16769,1.0,1,Sin Comentario,Tal vez,True,40.0,-12.2,FBK-000242,Detractor
FB-8243,TRX-19106,2.0,2,No volvería,No,True,78.0,24.5,FBK-000243,Pasivo
FB-8244,TRX-18011,5.0,5,Lento,Tal vez,True,84.0,20.5,FBK-000244,Pasivo
FB-8245,TRX-16435,3.0,2,Sin Comentario,Sin Respuesta,True,60.0,-28.4,FBK-000245,Detractor
FB-8246,TRX-18816,4.0,1,Excelente,Tal vez,True,62.0,-92.9,FBK-000246,Detractor
FB-8247,TRX-11329,3.0,4,Sin Comentario,Tal vez,False,58.0,-46.5,FBK-000247,Detractor
FB-8248,TRX-11270,2.0,1,Lento,Sí,True,36.0,-3.8,FBK-000248,Detractor
FB-8249,TRX-18825,3.0,1,Precio justo,Sí,True,61.0,-59.5,FBK-000249,Detractor
FB-8250,TRX-10507,2.0,3,No volvería,Sí,False,43.0,87.5,FBK-000250,Promotor
FB-8251,TRX-17293,2.0,2,No volvería,Tal vez,False,33.0,-17.3,FBK-000251,Detractor
FB-8252,TRX-12022,1.0,2,Lento,Sí,True,39.0,-29.6,FBK-000252,Detractor
FB-8253,TRX-15783,5.0,3,Precio justo,Sí,False,23.0,-78.5,FBK-000253,Detractor
FB-8254,TRX-16166,4.0,5,Sin Comentario,Sí,False,54.0,-44.8,FBK-000254,Detractor
FB-8255,TRX-19851,2.0,5,Sin Comentario,No,True,41.0,15.7,FBK-000255,Pasivo
FB-8256,TRX-15864,2.0,3,Lento,Sin Respuesta,False,57.0,63.9,FBK-000256,Promotor
FB-8257,TRX-16336,1.0,2,Sin Comentario,No,False,27.0,54.7,FBK-000257,Promotor
FB-8258,TRX-12903,4.0,5,Dañado,Tal vez,True,48.0,37.0,FBK-000258,Pasivo
FB-8259,TRX-10138,2.0,5,Precio justo,Tal vez,False,68.0,86.5,FBK-000259,Promotor
